ctags	0:6.2.1-3.fc44	aarch64
cups	1:2.4.19-3.fc44	aarch64
cups-browsed	1:2.1.1-7.fc44	aarch64
cups-client	1:2.4.19-3.fc44	aarch64
cups-filesystem	1:2.4.19-3.fc44	noarch
cups-filters	1:2.0.1-14.fc44	aarch64
cups-filters-driverless	1:2.0.1-14.fc44	aarch64
cups-ipptool	1:2.4.19-3.fc44	aarch64
cups-libs	1:2.4.19-3.fc44	aarch64
cups-pk-helper	0:0.2.7-12.fc44	aarch64
curl	0:8.18.0-7.fc44	aarch64
cyrus-sasl-gssapi	0:2.1.28-35.fc44	aarch64
cyrus-sasl-lib	0:2.1.28-35.fc44	aarch64
cyrus-sasl-md5	0:2.1.28-35.fc44	aarch64
cyrus-sasl-plain	0:2.1.28-35.fc44	aarch64
dbus	1:1.16.2-1.fc44	aarch64
dbus-broker	0:37-8.fc44	aarch64
dbus-common	1:1.16.2-1.fc44	noarch
dbus-daemon	1:1.16.2-1.fc44	aarch64
dbus-libs	1:1.16.2-1.fc44	aarch64
dbusmenu-qt5	0:0.9.3-0.40.20160218.fc44	aarch64
dbus-tools	1:1.16.2-1.fc44	aarch64
dbus-x11	1:1.16.2-1.fc44	aarch64
dconf	0:0.49.0-5.fc44	aarch64
ddcutil	0:2.2.1-3.fc44	aarch64
default-editor	0:8.7.1-2.fc44	noarch
default-fonts-am	0:4.3-1.fc44	noarch
default-fonts-ar	0:4.3-1.fc44	noarch
default-fonts-as	0:4.3-1.fc44	noarch
default-fonts-ast	0:4.3-1.fc44	noarch
default-fonts-be	0:4.3-1.fc44	noarch
default-fonts-bg	0:4.3-1.fc44	noarch
default-fonts-bn	0:4.3-1.fc44	noarch
default-fonts-bo	0:4.3-1.fc44	noarch
default-fonts-br	0:4.3-1.fc44	noarch
default-fonts-chr	0:4.3-1.fc44	noarch
default-fonts-cjk-mono	0:4.3-1.fc44	noarch
default-fonts-cjk-sans	0:4.3-1.fc44	noarch
default-fonts-cjk-serif	0:4.3-1.fc44	noarch
default-fonts-core-emoji	0:4.3-1.fc44	noarch
default-fonts-core-math	0:4.3-1.fc44	noarch
default-fonts-core-mono	0:4.3-1.fc44	noarch
default-fonts-core-sans	0:4.3-1.fc44	noarch
default-fonts-core-serif	0:4.3-1.fc44	noarch
default-fonts-dv	0:4.3-1.fc44	noarch
default-fonts-dz	0:4.3-1.fc44	noarch
default-fonts-el	0:4.3-1.fc44	noarch
default-fonts-eo	0:4.3-1.fc44	noarch
default-fonts-eu	0:4.3-1.fc44	noarch
default-fonts-fa	0:4.3-1.fc44	noarch
default-fonts-got	0:4.3-1.fc44	noarch
default-fonts-gu	0:4.3-1.fc44	noarch
default-fonts-he	0:4.3-1.fc44	noarch
default-fonts-hi	0:4.3-1.fc44	noarch
default-fonts-hy	0:4.3-1.fc44	noarch
default-fonts-ia	0:4.3-1.fc44	noarch
default-fonts-ii	0:4.3-1.fc44	noarch
default-fonts-iu	0:4.3-1.fc44	noarch
default-fonts-ka	0:4.3-1.fc44	noarch
default-fonts-kab	0:4.3-1.fc44	noarch
default-fonts-km	0:4.3-1.fc44	noarch
default-fonts-kn	0:4.3-1.fc44	noarch
default-fonts-ku	0:4.3-1.fc44	noarch
default-fonts-lo	0:4.3-1.fc44	noarch
default-fonts-mai	0:4.3-1.fc44	noarch
default-fonts-ml	0:4.3-1.fc44	noarch
default-fonts-mni	0:4.3-1.fc44	noarch
default-fonts-mr	0:4.3-1.fc44	noarch
default-fonts-my	0:4.3-1.fc44	noarch
default-fonts-nb	0:4.3-1.fc44	noarch
